FantaCode,Role,Name,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Gdv,Gdp,Day
4179,A,Gonzalez N.,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4993,ALL,Italiano,6,0,0,0,0,0,0,0,0,0,0,0,1
2179,P,Sirigu,6,0,4,0,0,0,0,0,0,0,0,0,1
791,D,Sabelli,6,0,0,0,0,0,0,0,0,0,0,0,1
2083,D,Biraschi,5,0,0,0,0,0,0,0,0,0,0,0,1
2328,D,Vanheusden,5,0,0,0,0,0,0,0,0,0,0,0,1
2759,D,Criscito,5,0,0,0,0,0,0,1,0,0,0,0,1
5520,D,Cambiaso,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5524,D,Serpe,5.5,0,0,0,0,0,0,0,0,0,0,0,1
170,C,Badelj,5.5,0,0,0,0,0,0,0,0,0,0,0,1
305,C,Sturaro,5,0,0,0,0,0,0,1,0,0,0,0,1
2121,C,Melegoni,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4423,C,Hernani,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4459,C,Rovella,5,0,0,0,0,0,0,0,0,0,0,0,1
245,A,Pandev,5,0,0,0,0,0,0,0,0,0,0,0,1
819,A,Favilli,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5439,A,Kallon,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5523,A,Bianchi F.,6,0,0,0,0,0,0,0,0,0,0,0,1
762,ALL,Ballardini,5.5,0,0,0,0,0,0,0,0,0,0,0,1
250,P,Handanovic,6,0,0,0,0,0,0,0,0,0,0,0,1
254,D,Dimarco,6,0,0,0,0,0,0,0,0,0,0,0,1
322,D,De Vrij,6,0,0,0,0,0,0,0,0,0,0,0,1
798,D,Skriniar,7,1,0,0,0,0,0,0,0,0,0,0,1
2120,D,Bastoni,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2525,D,Darmian,6,0,0,0,0,0,0,0,0,0,0,0,1
5513,D,Dumfries,6,0,0,0,0,0,0,0,0,0,0,0,1
181,C,Vecino,6,0,0,0,0,0,0,1,0,0,0,0,1
265,C,Brozovic,6.5,0,0,0,0,0,0,0,0,0,0,0,1
704,C,Perisic,6,0,0,0,0,0,0,0,0,0,0,0,1
1870,C,Barella,7,0,0,0,0,0,0,0,0,1,0,0,1
1978,C,Sensi,6,0,0,0,0,0,0,0,0,0,0,0,1
2194,C,Calhanoglu,8,1,0,0,0,0,0,0,0,1,0,0,1
2414,C,Vidal,7.5,1,0,0,0,0,0,0,0,1,0,0,1
647,A,Dzeko,7.5,1,0,0,0,0,0,0,0,1,0,0,1
5460,A,Satriano,6,0,0,0,0,0,0,0,0,0,0,0,1
826,ALL,Inzaghi S.,7,0,0,0,0,0,0,0,0,0,0,0,1
453,P,Szczesny,4,0,2,0,0,0,0,1,0,0,0,0,1
286,D,Bonucci,6,0,0,0,0,0,0,0,0,0,0,0,1
288,D,Chiellini,6,0,0,0,0,0,0,0,0,0,0,0,1
662,D,Alex Sandro,6.5,0,0,0,0,0,0,0,0,0,0,0,1
697,D,Cuadrado,7,1,0,0,0,0,0,0,0,0,0,0,1
4237,D,Danilo,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4428,D,De Ligt,6,0,0,0,0,0,0,0,0,0,0,0,1
184,C,Bernardeschi,5.5,0,0,0,0,0,0,0,0,0,0,0,1
827,C,Locatelli,6,0,0,0,0,0,0,0,0,0,0,0,1
2002,C,Chiesa,6,0,0,0,0,0,0,0,0,0,0,0,1
2166,C,Bentancur,6.5,0,0,0,0,0,0,0,0,1,0,0,1
2472,C,Ramsey,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2833,C,Kulusevski,5.5,0,0,0,0,0,0,1,0,0,0,0,1
309,A,Dybala,7.5,1,0,0,0,0,0,0,0,1,0,0,1
313,A,Morata,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2610,A,Ronaldo,6,0,0,0,0,0,0,1,0,0,0,0,1
686,ALL,Allegri,5.5,0,0,0,0,0,0,0,0,0,0,0,1
387,P,Reina,6,0,1,0,0,0,0,0,0,0,0,0,1
140,D,Hysaj,6,0,0,0,0,0,0,0,0,0,0,0,1
513,D,Acerbi,7,0,0,0,0,0,0,0,0,0,0,0,1
2263,D,Lazzari,6.5,1,0,0,0,0,0,0,0,0,0,0,1
2335,D,Luiz Felipe,6.5,0,0,0,0,0,0,0,0,0,0,0,1
335,C,Felipe Anderson,6.5,0,0,0,0,0,0,0,0,1,0,0,1
645,C,Milinkovic-Savic,7.5,1,0,0,0,0,0,0,0,1,0,0,1
2085,C,Luis Alberto,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2209,C,Lucas Leiva,5.5,0,0,0,0,0,0,1,0,0,0,0,1
4389,C,Anderson A.,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4975,C,Escalante,6,0,0,0,0,0,0,0,0,0,0,0,1
5286,C,Akpa Akpro,5,0,0,0,0,0,0,0,0,0,0,0,1
785,A,Immobile,7,0,0,0,0,1,0,0,0,0,0,0,1
2489,A,Pedro,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4938,A,Moro,6,0,0,0,0,0,0,0,0,0,0,0,1
5012,A,Muriqi,6,0,0,0,0,0,0,0,0,0,0,0,1
688,ALL,Sarri,7,0,0,0,0,0,0,0,0,0,0,0,1
4312,P,Maignan,6.5,0,0,0,0,0,0,0,0,0,0,0,1
357,D,Calabria,6.5,0,0,0,0,0,0,0,0,1,0,0,1
460,D,Romagnoli,6,0,0,0,0,0,0,0,0,0,0,0,1
464,D,Florenzi,6,0,0,0,0,0,0,0,0,0,0,0,1
2633,D,Kjaer,6.5,0,0,0,0,0,0,1,0,0,0,0,1
4292,D,Hernandez T.,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4751,D,Tomori,6.5,0,0,0,0,0,0,0,0,0,0,0,1
148,C,Krunic,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2818,C,Bennacer,6,0,0,0,0,0,0,0,0,0,0,0,1
4449,C,Tonali,6,0,0,0,0,0,0,0,0,0,0,0,1
4825,C,Diaz B.,7.5,1,0,0,0,0,0,0,0,0,0,0,1
4892,C,Saelemaekers,6.5,0,0,0,0,0,0,0,0,0,0,0,1
186,A,Rebic,6,0,0,0,0,0,0,0,0,0,0,0,1
4200,A,Giroud,6,0,0,0,0,0,0,0,0,0,0,0,1
4510,A,Rafael Leao,5.5,0,0,0,0,0,0,0,0,0,0,0,1
676,ALL,Pioli,7,0,0,0,0,0,0,0,0,0,0,0,1
572,P,Meret,6,0,0,0,0,0,0,0,0,0,0,0,1
142,D,Mario Rui,6.5,0,0,0,0,0,0,0,0,0,0,0,1
392,D,Koulibaly,7,0,0,0,0,0,0,0,0,0,0,0,1
459,D,Manolas,6,0,0,0,0,0,0,0,0,0,0,0,1
2816,D,Di Lorenzo,6.5,0,0,0,0,0,0,0,0,0,0,0,1
152,C,Zielinski,6,0,0,0,0,0,0,0,0,0,0,0,1
2775,C,Ruiz,5.5,0,0,0,0,0,0,1,0,0,0,0,1
4287,C,Lobotka,6,0,0,0,0,0,0,0,0,0,0,0,1
4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0,0,0,1
4479,C,Elmas,7,1,0,0,0,0,0,0,0,0,0,0,1
383,A,Petagna,6,0,0,0,0,0,0,0,0,0,0,0,1
409,A,Insigne,6.5,0,0,0,1,1,0,0,0,0,0,0,1
536,A,Politano,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4517,A,Lozano,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4661,A,Osimhen,4.5,0,0,0,0,0,0,0,1,0,0,0,1
782,ALL,Spalletti,7,0,0,0,0,0,0,1,0,0,0,0,1
4270,P,Rui Patricio,7,0,1,0,0,0,0,0,0,0,0,0,1
2180,D,Karsdorp,6,0,0,0,0,0,0,0,0,0,0,0,1
2296,D,Mancini,6,0,0,0,0,0,0,0,0,0,0,0,1
4331,D,Ibanez,6.5,0,0,0,0,0,0,0,0,0,0,0,1
5509,D,Vina,5.5,0,0,0,0,0,0,0,0,0,0,0,1
530,C,Pellegrini Lo.,6.5,0,0,0,0,0,0,1,0,0,0,0,1
779,C,Cristante,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2215,C,Veretout,8,2,0,0,0,0,0,0,0,0,0,0,1
2529,C,Mkhitaryan,7,1,0,0,0,0,0,0,0,0,0,0,1
2766,C,Zaniolo,5,0,0,0,0,0,0,0,1,0,0,0,1
5423,C,Bove,6,0,0,0,0,0,0,0,0,0,0,0,1
795,A,El Shaarawy,6,0,0,0,0,0,0,0,0,0,0,0,1
2544,A,Abraham,7.5,0,0,0,0,0,0,0,0,2,0,0,1
4884,A,Carles Perez,6,0,0,0,0,0,0,0,0,0,0,0,1
5311,A,Shomurodov,6.5,0,0,0,0,0,0,0,0,1,0,0,1
5190,ALL,Mourinho,7,0,0,0,0,0,0,0,0,0,0,0,1
720,P,Belec,6,0,3,0,0,0,0,0,0,0,0,0,1
660,D,Gyomber,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2208,D,Jaroszynski,5.5,0,0,0,0,0,0,1,0,0,0,0,1
4433,D,Zortea,6,0,0,0,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,6.5,0,0,0,0,0,0,0,0,0,0,0,1
5464,D,Bogdan,6,0,0,0,0,0,0,0,0,0,0,0,1
5466,D,Strandberg,4.5,0,0,0,0,0,0,0,1,0,0,0,1
5503,D,Kechrida,6.5,0,0,0,0,0,0,0,0,0,0,0,1
173,C,Capezzi,6,0,0,0,0,0,0,0,0,0,0,0,1
560,C,Obi,6,0,0,0,0,0,0,0,0,0,0,0,1
2144,C,Coulibaly M.,7,1,0,0,0,0,0,0,0,0,0,0,1
5470,C,Schiavone,6,0,0,0,0,0,0,0,0,0,0,0,1
5504,C,Coulibaly L.,5.5,0,0,0,0,0,0,0,0,0,0,0,1
505,A,Bonazzoli,7,0,0,0,0,1,0,0,0,0,0,0,1
1997,A,Simy,6,0,0,0,0,0,0,0,0,0,0,0,1
5471,A,Djuric,6,0,0,0,0,0,0,0,0,0,0,0,1
679,ALL,Castori,6,0,0,0,0,0,0,0,0,0,0,0,1
761,P,Audero,5.5,0,1,0,0,0,0,0,0,0,0,0,1
1868,D,Murru,6,0,0,0,0,0,0,1,0,0,0,0,1
2104,D,Bereszynski,6,0,0,0,0,0,0,1,0,0,0,0,1
2784,D,Colley,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4421,D,Augello,5,0,0,0,0,0,0,0,0,0,0,0,1
4895,D,Yoshida,5.5,0,0,0,0,0,0,0,0,0,0,0,1
332,C,Candreva,6.5,0,0,0,0,0,0,0,0,0,0,0,1
600,C,Verre,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2391,C,Ekdal,6,0,0,0,0,0,0,0,0,0,0,0,1
2703,C,Adrien Silva,6,0,0,0,0,0,0,0,0,0,0,0,1
4404,C,Thorsby,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4978,C,Damsgaard,5.5,0,0,0,0,0,0,0,0,0,0,0,1
407,A,Gabbiadini,5.5,0,0,0,0,0,0,1,0,0,0,0,1
568,A,Quagliarella,6,0,0,0,0,0,0,0,0,0,0,0,1
2824,ALL,D'aversa,5,0,0,0,0,0,0,0,0,0,0,0,1
509,P,Consigli,6,0,2,0,0,0,0,0,0,0,0,0,1
640,D,Chiriches,6,0,0,0,0,0,0,0,0,0,0,0,1
1895,D,Ferrari G.,6,0,0,0,0,0,0,0,0,0,0,0,1
2318,D,Rogerio,6,0,0,0,0,0,0,0,0,0,0,0,1
4426,D,Toljan,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4979,D,Ayhan,6,0,0,0,0,0,0,0,0,0,0,0,1
528,C,Magnanelli,6,0,0,0,0,0,0,0,0,0,0,0,1
1995,C,Djuricic,7.5,1,0,0,0,0,0,1,0,1,0,0,1
2848,C,Frattesi,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2857,C,Traore' Hj.,7,1,0,0,0,0,0,0,0,0,0,0,1
4681,C,Lopez M.,6.5,0,0,0,0,0,0,1,0,0,0,0,1
643,A,Defrel,6,0,0,0,0,0,0,0,0,0,0,0,1
2137,A,Scamacca,6,0,0,0,0,0,0,0,0,0,0,0,1
2819,A,Caputo,6.5,0,0,0,0,0,0,0,0,1,0,0,1
2832,A,Boga,6.5,0,0,0,0,0,0,0,0,1,0,0,1
4371,A,Raspadori,7,1,0,0,0,0,0,0,0,0,0,0,1
5474,ALL,Dionisi,7,0,0,0,0,0,0,0,0,0,0,0,1
5005,P,Zoet,5,0,2,0,0,0,0,0,0,0,0,0,1
2312,D,Hristov,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4329,D,Nikolaou,6,0,0,0,0,0,0,1,0,0,0,0,1
4982,D,Erlic,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4983,D,Ferrer,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4985,D,Vignali,6,0,0,0,0,0,0,0,0,0,0,0,1
5332,D,Bastoni S.,7,1,0,0,0,0,0,1,0,0,0,0,1
5475,D,Amian,6.5,0,0,0,0,0,0,0,0,1,0,0,1
4988,C,Maggiore,6,0,0,0,0,0,0,0,0,0,0,0,1
215,A,Verde,6.5,0,0,0,0,0,0,0,0,1,0,0,1
2750,A,Mraz,6,0,0,0,0,0,0,0,0,0,0,0,1
4435,A,Colley E.,6,0,0,0,0,0,0,0,0,0,0,0,1
4992,A,Gyasi,7,1,0,0,0,0,0,1,0,0,0,0,1
4861,ALL,Thiago Motta,6,0,0,0,0,0,0,0,0,0,0,0,1
2170,P,Milinkovic-Savic V.,6,0,2,0,0,0,0,0,0,0,0,0,1
226,D,Izzo,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2169,D,Rodriguez R.,5,0,0,0,0,0,0,0,0,0,0,0,1
2788,D,Bremer,6.5,0,0,0,0,0,0,1,0,0,0,0,1
2865,D,Aina,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2869,D,Djidji,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4899,D,Singo,6.5,0,0,0,0,0,0,0,0,0,0,0,1
238,C,Rincon,6,0,0,0,0,0,0,1,0,0,0,0,1
376,C,Verdi,6,0,0,0,0,0,0,0,0,0,0,0,1
1933,C,Mandragora,6,0,0,0,0,0,0,0,0,0,0,0,1
2008,C,Linetty,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2009,C,Lukic,6,0,0,0,0,0,0,0,0,0,0,0,1
441,A,Belotti,7,1,0,0,0,0,0,0,0,0,0,0,1
479,A,Sanabria,6,0,0,0,0,0,0,0,0,0,0,0,1
1998,A,Pjaca,5.5,0,0,0,0,0,0,0,0,0,0,0,1
1924,ALL,Juric,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2211,P,Silvestri,6,0,2,0,0,0,0,0,0,0,0,0,1
790,D,Samir,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2280,D,Nuytinck,4.5,0,0,0,0,0,0,0,0,0,0,0,1
2315,D,Stryger Larsen,6,0,0,0,0,0,0,0,0,0,0,0,1
4323,D,Zeegelaar,6,0,0,0,0,0,0,0,0,0,0,0,1
4412,D,Rodrigo Becao,6,0,0,0,0,0,0,0,0,0,0,0,1
4998,D,Molina N.,6,0,0,0,0,0,0,0,0,0,0,0,1
5355,D,Udogie,6,0,0,0,0,0,0,0,0,0,0,0,1
302,C,Pereyra,6.5,0,0,0,0,1,0,0,0,0,0,0,1
434,C,Jajalo,6,0,0,0,0,0,0,0,0,0,0,0,1
2392,C,Walace,5.5,0,0,0,0,0,0,1,0,0,0,0,1
5287,C,Arslan,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5329,C,Makengo,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2119,A,Deulofeu,7,1,0,0,0,0,0,0,0,0,0,0,1
2826,A,Pussetto,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4324,A,Okaka,6.5,0,0,0,0,0,0,0,0,0,0,0,1
1860,ALL,Gotti,7,0,0,0,0,0,0,0,0,0,0,0,1
5478,P,Maenpaa,5.5,0,2,0,0,0,0,0,0,0,0,0,1
551,D,Molinaro,5.5,0,0,0,0,0,0,0,0,0,0,0,1
1847,D,Caldara,4.5,0,0,0,0,0,0,1,0,0,0,0,1
5479,D,Ceccaroni,5,0,0,0,0,0,0,1,0,0,0,0,1
5480,D,Ebuehi,5.5,0,0,0,0,0,0,1,0,0,0,0,1
5484,D,Svoboda,5.5,0,0,0,0,0,0,0,0,0,0,0,1
400,C,Dezi,6,0,0,0,0,0,0,0,0,0,0,0,1
5487,C,Heymans,6,0,0,0,0,0,0,1,0,0,0,0,1
5488,C,Fiordilino,6,0,0,0,0,0,0,1,0,0,0,0,1
5490,C,Peretz,6,0,0,0,0,0,0,0,0,0,0,0,1
5492,C,Tessmann,5.5,0,0,0,0,0,0,1,0,0,0,0,1
5501,C,Sigurdsson A.,6,0,0,0,0,0,0,0,0,0,0,0,1
5494,A,Di Mariano,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5495,A,Forte,5.5,0,0,0,0,0,0,1,0,0,0,0,1
5496,A,Johnsen,6,0,0,0,0,0,0,0,0,0,0,0,1
5525,A,Galazzi,6,0,0,0,0,0,0,0,0,0,0,0,1
5497,ALL,Zanetti,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4996,P,Pandur,5.5,0,3,0,0,0,0,0,0,0,0,0,1
1891,D,Ceccherini,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2758,D,Gunter,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2769,D,Magnani,6,0,0,0,0,0,0,0,0,0,0,0,1
4493,D,Dawidowicz,5,0,0,0,0,0,0,0,0,0,0,0,1
5498,D,Casale,5.5,0,0,0,0,0,0,0,0,0,0,0,1
236,C,Lazovic,6,0,0,0,0,0,0,0,0,1,0,0,1
632,C,Zaccagni,7,1,0,0,0,1,0,0,0,0,0,0,1
2011,C,Miguel Veloso,4.5,0,0,0,0,0,0,0,1,0,0,0,1
2172,C,Barak,6,0,0,0,0,0,0,0,0,0,0,0,1
4890,C,Tameze,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5007,C,Ilic,6,0,0,0,0,0,0,0,0,0,0,0,1
5499,C,Hongla,5.5,0,0,0,0,0,0,0,0,0,0,0,1
652,A,Kalinic,5,0,0,0,0,0,0,0,0,0,0,0,1
4500,A,Di Carmine,5.5,0,0,0,0,0,0,1,0,0,0,0,1
5500,A,Cancellieri,6,0,0,0,0,0,0,0,0,0,0,0,1
691,ALL,Di Francesco,5,0,0,0,0,0,0,0,0,0,0,0,1
2792,P,Musso,6,0,0,0,0,0,0,0,0,0,0,0,2
